DateTime,GPS_Lat,GPS_Long,Depth_m,Temp_C,GPS_FixQuality,GPS_n_Sat,GPS_HDoP,GPS_Altitude,GPS_T_TMG,GPS_M_TMG,GPS_SOG_N,GPS_SOG_K,GPS_MagVar
2025-08-18 14:43:39,43.0178500,-87.9036667,3.29,23.33,,,,,195.60,,0.20,,-3.10
2025-08-18 14:43:40,43.0178500,-87.9036667,3.29,23.32,,,,,152.10,,0.00,,-3.10
2025-08-18 14:43:41,43.0178500,-87.9036667,3.29,23.32,,,,,9.90,,0.20,,-3.10
2025-08-18 14:43:42,43.0178500,-87.9036667,3.29,23.32,,,,,353.40,,0.00,,-3.10
2025-08-18 14:43:43,43.0178500,-87.9036667,3.29,23.32,,,,,180.30,,0.20,,-3.10
2025-08-18 14:43:44,43.0178500,-87.9036667,3.29,23.31,,,,,163.30,,0.00,,-3.10
2025-08-18 14:43:45,43.0178500,-87.9036667,3.29,23.31,,,,,346.50,,0.00,,-3.10
2025-08-18 14:43:46,43.0178500,-87.9036667,3.29,23.32,,,,,329.90,,0.00,,-3.10
2025-08-18 14:43:47,43.0178500,-87.9036667,3.29,23.31,,,,,30.40,,0.00,,-3.10
2025-08-18 14:43:48,43.0178500,-87.9036667,3.29,23.32,,,,,89.10,,0.00,,-3.10
2025-08-18 14:43:49,43.0178500,-87.9036667,3.29,23.32,,,,,241.70,,0.00,,-3.10
2025-08-18 14:43:50,43.0178500,-87.9036667,3.29,23.32,,,,,277.10,,0.00,,-3.10
2025-08-18 14:43:51,43.0178500,-87.9036667,3.29,23.32,,,,,16.20,,0.00,,-3.10
2025-08-18 14:43:52,43.0178500,-87.9036667,3.29,23.33,,,,,328.60,,0.00,,-3.10
2025-08-18 14:43:53,43.0178500,-87.9036667,3.29,23.33,,,,,252.10,,0.00,,-3.10
2025-08-18 14:43:54,43.0178500,-87.9036667,3.29,23.33,,,,,180.50,,0.00,,-3.10
2025-08-18 14:43:55,43.0178500,-87.9036667,3.29,23.33,,,,,301.70,,0.00,,-3.10
2025-08-18 14:43:56,43.0178500,-87.9036667,3.29,23.33,,,,,349.00,,0.00,,-3.10
2025-08-18 14:43:57,43.0178500,-87.9036667,3.29,23.33,,,,,0.00,,0.20,,-3.10
2025-08-18 14:43:58,43.0178500,-87.9036667,3.29,23.32,,,,,202.30,,0.20,,-3.10
2025-08-18 14:43:59,43.0178500,-87.9036667,3.29,23.33,,,,,193.60,,0.00,,-3.10
2025-08-18 14:44:00,43.0178500,-87.9036667,3.29,23.32,,,,,211.40,,0.20,,-3.10
2025-08-18 14:44:02,43.0178500,-87.9036667,3.29,23.32,,,,,0.10,,0.00,,-3.10
2025-08-18 14:44:03,43.0178500,-87.9036667,3.29,23.32,,,,,334.50,,0.20,,-3.10
2025-08-18 14:44:04,43.0178500,-87.9036667,3.29,23.32,,,,,247.50,,0.20,,-3.10
2025-08-18 14:44:05,43.0178500,-87.9036667,3.29,23.32,,,,,172.20,,0.00,,-3.10
2025-08-18 14:44:06,43.0178500,-87.9036667,3.29,23.33,,,,,176.40,,0.00,,-3.10
2025-08-18 14:44:07,43.0178500,-87.9036667,3.29,23.33,,,,,349.00,,0.00,,-3.10
2025-08-18 14:44:08,43.0178500,-87.9036667,3.29,23.33,,,,,350.60,,0.00,,-3.10
2025-08-18 14:44:09,43.0178500,-87.9036667,3.29,23.33,,,,,349.20,,0.20,,-3.10
2025-08-18 14:44:10,43.0178500,-87.9036667,3.29,23.33,,,,,59.40,,0.20,,-3.10
2025-08-18 14:44:11,43.0178500,-87.9036667,3.29,23.33,,,,,103.90,,0.00,,-3.10
2025-08-18 14:44:12,43.0178500,-87.9036667,3.29,23.32,,,,,10.00,,0.00,,-3.10
2025-08-18 14:44:13,43.0178500,-87.9036667,3.29,23.33,,,,,11.00,,0.00,,-3.10
2025-08-18 14:44:14,43.0178500,-87.9036667,3.29,23.33,,,,,143.10,,0.20,,-3.10
2025-08-18 14:44:15,43.0178500,-87.9036667,3.29,23.32,,,,,117.40,,0.00,,-3.10
2025-08-18 14:44:16,43.0178500,-87.9036667,3.29,23.32,,,,,6.00,,0.00,,-3.10
2025-08-18 14:44:17,43.0178500,-87.9036667,3.29,23.32,,,,,38.30,,0.20,,-3.10
2025-08-18 14:44:18,43.0178667,-87.9036667,3.29,23.32,,,,,68.70,,0.20,,-3.10
2025-08-18 14:44:19,43.0178667,-87.9036833,3.29,23.31,,,,,8.50,,0.20,,-3.10
2025-08-18 14:44:20,43.0178667,-87.9036833,3.29,23.31,,,,,298.60,,0.00,,-3.10
2025-08-18 14:44:21,43.0178667,-87.9036833,3.29,23.32,,,,,70.80,,0.00,,-3.10
2025-08-18 14:44:22,43.0178667,-87.9036833,3.29,23.31,,,,,48.60,,0.00,,-3.10
2025-08-18 14:44:23,43.0178667,-87.9036833,3.29,23.32,,,,,13.90,,0.20,,-3.10
2025-08-18 14:44:24,43.0178667,-87.9036833,3.29,23.32,,,,,45.80,,0.20,,-3.10
2025-08-18 14:44:25,43.0178667,-87.9036833,3.29,23.32,,,,,106.20,,0.20,,-3.10
2025-08-18 14:44:26,43.0178833,-87.9036833,3.29,23.33,,,,,188.60,,0.00,,-3.10
2025-08-18 14:44:27,43.0178833,-87.9036833,3.29,23.32,,,,,51.10,,0.00,,-3.10
2025-08-18 14:44:28,43.0178833,-87.9036833,3.29,23.32,,,,,30.00,,0.20,,-3.10
2025-08-18 14:44:29,43.0178833,-87.9036833,3.29,23.32,,,,,221.70,,0.20,,-3.10
2025-08-18 14:44:30,43.0178833,-87.9036833,3.29,23.33,,,,,168.10,,0.00,,-3.10
